rpi4,c,,5*3.1,,have,,
rpi3,micro,,5*1 or 5*2.4,,1,,
wireless,micro,,,,1,,maybe just a 2 port 45w
trackpad,micro,,,,share ^,,
,,,,,,,
laptop,c,,90w,,dedi,,
laptop 2,c,,,,dedi,,
main laptop,c,,,,,,
,,,,,,,
open c?,,,,,,,
iphone,lighning,c,20w?,,,,
oneplus,c,,,,,,
nor headphones,c,,,,,,
